ID ,currency,notional,start.date,maturity.date,strike,type,standard
1417,EUR,20000000,10/01/2019,10/01/2024,0.00219,payer,TRUE
1416,EUR,12591000,07/01/2019,07/01/2049,0.0134,receiver,TRUE
1415,EUR,12851000,07/01/2019,07/01/2034,0.01122,receiver,TRUE
1414,EUR,14098000,07/01/2019,07/01/2026,0.00424,receiver,TRUE
1413,EUR,10000000,07/01/2019,07/01/2059,0.01358,payer,TRUE
1412,EUR,10000000,07/01/2019,07/01/2039,0.012955,payer,TRUE
1411,EUR,10000000,07/01/2019,07/01/2029,0.00772,payer,TRUE
1410,EUR,16000000,31/12/2018,31/12/2028,0.00825,payer,TRUE
1409,EUR,11000000,31/12/2018,31/12/2033,0.011645,receiver,TRUE
1409_1,EUR,11000000,31/12/2018,31/12/2033,0.011645,receiver,TRUE
1408,EUR,22000000,31/12/2018,31/12/2025,0.00473,receiver,TRUE
1407,EUR,13900000,20/12/2018,20/12/2038,0.01355,payer,TRUE
1406,EUR,14500000,20/12/2018,20/12/2028,0.008455,payer,TRUE
1405,EUR,14100000,20/12/2018,20/12/2025,0.00511,receiver,TRUE
1404,EUR,10000000,20/12/2018,20/12/2048,0.013925,receiver,TRUE
1403,EUR,10000000,20/12/2018,20/12/2033,0.01188,receiver,TRUE
1402,EUR,10000000,20/12/2018,20/12/2028,0.008555,payer,TRUE
1401,EUR,10000000,20/12/2018,20/12/2025,0.00501,receiver,TRUE
1400,EUR,22400000,13/12/2018,13/12/2033,0.01219,receiver,TRUE
1399,EUR,28100000,13/12/2018,13/12/2025,0.00536,receiver,TRUE
1398,EUR,10000000,13/12/2018,13/12/2058,0.01431,payer,TRUE
1397,EUR,20000000,13/12/2018,13/12/2028,0.00878,payer,TRUE
1396,EUR,13900000,06/12/2018,06/12/2038,0.0138,payer,TRUE
1395,EUR,14100000,06/12/2018,06/12/2025,0.00535,receiver,TRUE
1394,EUR,10000000,06/12/2018,06/12/2048,0.014215,receiver,TRUE
1393,EUR,10000000,06/12/2018,06/12/2028,0.00878,payer,TRUE
1392,EUR,14500000,29/11/2018,29/11/2028,0.00906,payer,TRUE
1391,EUR,14100000,29/11/2018,29/11/2025,0.00573,receiver,TRUE
1390,EUR,38900000,29/11/2018,29/11/2023,0.00303,payer,TRUE
1389,EUR,33200000,29/11/2018,29/11/2021,0.00003,receiver,TRUE
1388,EUR,10000000,29/11/2018,29/11/2033,0.012475,receiver,TRUE
1387,EUR,10000000,29/11/2018,29/11/2028,0.00916,payer,TRUE
1386,EUR,28000000,29/11/2018,29/11/2025,0.00563,receiver,TRUE
1385,EUR,20000000,29/11/2018,29/11/2023,0.00313,payer,TRUE
1384,EUR,14500000,22/11/2018,22/11/2028,0.00918,payer,TRUE
1383,EUR,10000000,22/11/2018,22/11/2033,0.012585,receiver,TRUE
1383_1,EUR,7000000,22/11/2018,22/11/2033,0.012585,receiver,TRUE
1382,EUR,14000000,22/11/2018,22/11/2025,0.00576,receiver,TRUE
1381,EUR,22500000,15/11/2018,15/11/2025,0.00628,receiver,TRUE
1380,EUR,16000000,15/11/2018,15/11/2028,0.00968,payer,TRUE
1379,EUR,12500000,08/11/2018,08/11/2048,0.01517,receiver,TRUE
1378,EUR,14000000,08/11/2018,08/11/2025,0.00634,receiver,TRUE
1377,EUR,40300000,08/11/2018,08/11/2023,0.00354,payer,TRUE
1376,EUR,33200000,08/11/2018,08/11/2021,0.00033,receiver,TRUE
1375,EUR,10000000,08/11/2018,08/11/2058,0.01523,payer,TRUE
1374,EUR,10000000,08/11/2018,08/11/2028,0.00979,payer,TRUE
1373,EUR,29000000,08/11/2018,08/11/2025,0.00624,receiver,TRUE
1372,EUR,20000000,08/11/2018,08/11/2023,0.00364,payer,TRUE
1371,EUR,22500000,01/11/2018,01/11/2025,0.00623,receiver,TRUE
1370,EUR,29200000,01/11/2018,01/11/2023,0.00349,payer,TRUE
1369,EUR,49800000,01/11/2018,01/11/2021,0.00039,receiver,TRUE
1368,EUR,16000000,01/11/2018,01/11/2028,0.00963,payer,TRUE
1367,EUR,21000000,01/11/2018,01/11/2025,0.00613,receiver,TRUE
1366,EUR,30000000,01/11/2018,01/11/2023,0.00359,payer,TRUE
1365,EUR,20800000,25/10/2018,25/10/2038,0.01481,payer,TRUE
1364,EUR,15900000,25/10/2018,25/10/2028,0.00988,payer,TRUE
1363,EUR,15000000,25/10/2018,25/10/2048,0.015145,receiver,TRUE
1362,EUR,11000000,25/10/2018,25/10/2033,0.013165,receiver,TRUE
1361,EUR,22000000,25/10/2018,25/10/2025,0.00649,receiver,TRUE
1360,EUR,14400000,18/10/2018,18/10/2028,0.01034,payer,TRUE
1359,EUR,10000000,18/10/2018,18/10/2033,0.013655,receiver,TRUE
1359_1,EUR,10000000,18/10/2018,18/10/2033,0.013655,receiver,TRUE
1358,EUR,14000000,11/10/2018,11/10/2025,0.00738,receiver,TRUE
1357,EUR,16600000,11/10/2018,11/10/2021,0.00099,receiver,TRUE
1356,EUR,10000000,11/10/2018,11/10/2028,0.01083,payer,TRUE
1355,EUR,10000000,11/10/2018,11/10/2023,0.00462,payer,TRUE
1354,EUR,19700000,04/10/2018,04/10/2025,0.0065,receiver,TRUE
1353,EUR,51400000,04/10/2018,04/10/2023,0.00376,payer,TRUE
1352,EUR,16600000,04/10/2018,04/10/2021,0.00056,receiver,TRUE
1351,EUR,14000000,04/10/2018,04/10/2028,0.00988,payer,TRUE
1350,EUR,37000000,04/10/2018,04/10/2025,0.0064,receiver,TRUE
